id_estudiante,id_oferta,taller,periodo,fecha_inicio,fecha_fin
A07192300,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045939,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076591,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106882,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192258,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045948,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045940,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106885,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106892,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106886,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192259,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076578,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076577,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076565,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076580,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192264,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192261,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106883,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192256,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045951,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106889,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076576,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076590,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045938,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192316,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192298,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106895,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192266,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045952,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106894,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045950,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106893,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076593,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045959,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106898,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106902,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106881,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045954,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045944,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192267,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045936,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192253,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076562,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076573,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192299,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192265,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076572,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192269,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192263,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192301,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07046003,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045955,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
